#Region,#State,#City,#Sales Method,#Product_Name,#Product_ID,#Discount,#Description,#Rating,#Reviews,#Right_Side_Img,#Sole_Img,#Left_Side_Img,#Top_Img,#Angle_Img,#Back_Side_Img,#Price_Amount,#Listing_Price_Amount,
South,Texas,Houston,Outlet,Nike Air Force 1 Type,CQ2344-100,10,"An update to the ultra-fast Jordan React Havoc, the SE maintains its responsive cushioning combination while revamping elements of the upper. The transparent heel clip offers the same great heel lockdown but with a new aesthetic. A synthetic suede and striped-line mudguard provides lightweight lateral support. The updated tongue reduces lace pressure and provides easy on and off.",0,0,https://static.nike.com/a/images/t_PDP_1728_v1/82352767-a3db-46fe-bf7b-b0e03edc01aa/jordan-react-havoc-se-running-shoe-FLQ4bZ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/f3661240-0a1a-4dae-912d-85ebd92354f8/jordan-react-havoc-se-running-shoe-FLQ4bZ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/3871f796-d3fe-4db6-800b-b7b31244bf58/jordan-react-havoc-se-running-shoe-FLQ4bZ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/b89db0f2-c56f-439c-8794-dbf0a77e53d4/jordan-react-havoc-se-running-shoe-FLQ4bZ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/0399cd55-8085-4098-864f-1088d079dd02/jordan-react-havoc-se-running-shoe-FLQ4bZ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/b5b0eabf-20f0-4e2e-91f6-af16a799a62e/jordan-react-havoc-se-running-shoe-FLQ4bZ.jpg,$10995,$0,
South,Texas,Houston,Outlet,Nike Air Max 270 React,AO4971-700,10,"The Nike SB Air Max Stefan Janoski 2 hugs your foot with a breathable textile upper. A Max Air unit in the heel cushions every step, while a flat rubber outsole optimises grip when you're on your board.",3,11,https://static.nike.com/a/images/t_PDP_1728_v1/i1-88481531-ade2-4be2-b280-de4dfefb25f8/sb-air-max-stefan-janoski-2-skate-shoe-3Q3vrl.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-4b4edfdb-241f-4ed9-ae39-da98426535ad/sb-air-max-stefan-janoski-2-skate-shoe-3Q3vrl.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-1c4c36ec-f365-4e74-9c97-17c58dbd6b83/sb-air-max-stefan-janoski-2-skate-shoe-3Q3vrl.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-d33b486b-0ab1-4af8-90a9-5f2fa6d55073/sb-air-max-stefan-janoski-2-skate-shoe-3Q3vrl.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-6b93eca7-9723-49a6-a3aa-efda859d6106/sb-air-max-stefan-janoski-2-skate-shoe-3Q3vrl.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-e513cae2-4d45-4f1c-bd77-b70b8b21f136/sb-air-max-stefan-janoski-2-skate-shoe-3Q3vrl.jpg,$9995,$0,
South,Texas,Houston,Outlet,Nike React Presto,AV2605-101,10,"Ideal for runs up to 3 miles, the Nike Free RN Flyknit 3.0 delivers a lace-free design so you can slip in and hit your stride. An updated flex groove pattern and modified midsole foam provides more flexibility than its predecessor, creating a barefoot sensation with every step. A mix of supportive and stretchy yarns are zonally placed for comfort that moves with your foot.",4,10,https://static.nike.com/a/images/t_PDP_1728_v1/mmt4hemae0hjzfo3laid/free-rn-flyknit-3-running-shoe-vVqwz6.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/kn58thb4x3ddm5i5imkr/free-rn-flyknit-3-running-shoe-vVqwz6.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/pcatukbqtmtfteujw9ij/free-rn-flyknit-3-running-shoe-vVqwz6.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/ukd5b1w1mllebnqymkz8/free-rn-flyknit-3-running-shoe-vVqwz6.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/z64dj72ufinei6m6mgki/free-rn-flyknit-3-running-shoe-vVqwz6.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/ckcsagzdizbwhszatyvy/free-rn-flyknit-3-running-shoe-vVqwz6.jpg,$7697,$10995,
South,Texas,Houston,Outlet,Nike Legend React,AA1625-009,10,"The Nike Phantom Venom Academy FG is engineered for powerful, precise strikes that win games. Ridges on the instep create spin to control the flight of the ball, while the firm-ground plate provides the traction needed to unleash at any moment.",3,5,https://static.nike.com/a/images/t_PDP_1728_v1/c1b6a564-a475-46f3-acab-8076ecfca48c/phantom-venom-academy-fg-football-boot-8K8CNP.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/fbf55013-d88d-4626-8e3c-d2360ba0159a/phantom-venom-academy-fg-football-boot-8K8CNP.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/6d64a679-51b7-46db-9499-fd906a8fad2c/phantom-venom-academy-fg-football-boot-8K8CNP.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/84345e2c-ef3f-4305-93a0-17e749e5ee83/phantom-venom-academy-fg-football-boot-8K8CNP.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/3427842d-2a42-44d9-b6ec-41c14acad6cd/phantom-venom-academy-fg-football-boot-8K8CNP.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/f7398cf0-0222-4ab9-874c-f2d9ca6393af/phantom-venom-academy-fg-football-boot-8K8CNP.jpg,$7495,$0,
South,Texas,Houston,Outlet,Air Jordan 1 Low SE,CK3022-005,10,"Designed for speed, stability and comfort, the Nike Air Ghost Racer was a hit 20 years ago?and now it's back in a stitch-for-stitch remake. And though it has all the same features as the original, it might be even better than you remember.",5,2,https://static.nike.com/a/images/t_PDP_1728_v1/v08gfolm1xl4ph79dszd/air-ghost-racer-shoe-CClwQd.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/jzfovha6bttpzeuakgc6/air-ghost-racer-shoe-CClwQd.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/agvo9xukqllwffunxnjn/air-ghost-racer-shoe-CClwQd.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/m25choaqw3u1oml80rxp/air-ghost-racer-shoe-CClwQd.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/rpqoixyzplvsslyujfau/air-ghost-racer-shoe-CClwQd.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/g4luyxrfujszdsjgt3gt/air-ghost-racer-shoe-CClwQd.jpg,$6997,$9995,
South,Texas,Houston,Outlet,NikeCourt Air Max Wildcard,AO7351-104,10,"Designed and tested in Oregon, the Nike ACG Antarktik is a ""jacket"" for your foot. Its tough ripstop upper combines with a GORE-TEX lining to help keep your foot dry. All-new lug details use hard rubber for traction in all conditions.",3,20,https://static.nike.com/a/images/t_PDP_1728_v1/e18ea80d-da31-4518-8b9a-7e9da490d429/acg-air-terra-antarktik-shoe-q2q0qj.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/e7ec3775-e979-4b6c-82a6-b21ad5f964d1/acg-air-terra-antarktik-shoe-q2q0qj.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/e683e5a4-6817-48c7-a830-6ef4fb5e5061/acg-air-terra-antarktik-shoe-q2q0qj.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/55f7e23e-8862-4faa-ba50-045f18ec2097/acg-air-terra-antarktik-shoe-q2q0qj.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/d8e8607e-0e33-4416-8662-e0e9db29502b/acg-air-terra-antarktik-shoe-q2q0qj.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/e6ec8c8b-f100-4ac0-b3e3-5c2ed80c11d0/acg-air-terra-antarktik-shoe-q2q0qj.jpg,$15995,$0,
South,Texas,Houston,Outlet,Nike Blazer Low,AJ9515-001,10,"Originally released in 1994, the Nike Air Max 2 Light returns as a near-exact replica of the iconic runner. A mesh and synthetic leather upper, moulded heel and vibrant Air Max unit honour the OG. The soft foam midsole optimises all-day comfort.",0,0,https://static.nike.com/a/images/t_PDP_1728_v1/e18b6d12-0e41-4697-8bb9-9e6410d0150e/air-max-2-light-shoe-r1kSJt.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/85f278ed-2592-48ff-bad5-66b771c1db48/air-max-2-light-shoe-r1kSJt.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/4b614b1b-8e16-49e7-a85d-629e5d15e988/air-max-2-light-shoe-r1kSJt.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/fdc2d71a-cbfb-43bb-81ae-5ffd0504a99f/air-max-2-light-shoe-r1kSJt.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/e5df7003-f00b-490f-9f3c-8a168d57ec77/air-max-2-light-shoe-r1kSJt.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/7b81dbbc-b821-4cbc-9774-364ce0134a8c/air-max-2-light-shoe-r1kSJt.jpg,$9597,$11995,
South,Texas,Houston,Outlet,Zoom LeBron 3 QS,AO2434-101,10,"Building on the forefoot plate innovation of the 6, the Nike Mercurial Superfly 7 Academy MG Boot adds a versatile multi-ground plate that provides traction on natural- and artificial-grass surfaces.",5,2,https://static.nike.com/a/images/t_PDP_1728_v1/v8f5640a5krvbxvuqa3r/mercurial-superfly-7-academy-mg-multi-ground-football-boot-9c8jVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/svlktvp2neodykyyo4bf/mercurial-superfly-7-academy-mg-multi-ground-football-boot-9c8jVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/kle5jzbicb5amsayi1to/mercurial-superfly-7-academy-mg-multi-ground-football-boot-9c8jVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/zczz8vmhhezyqwekwrox/mercurial-superfly-7-academy-mg-multi-ground-football-boot-9c8jVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/n4yufdszrsfxearhpyby/mercurial-superfly-7-academy-mg-multi-ground-football-boot-9c8jVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/ow0dv681h5ftlojn4xbs/mercurial-superfly-7-academy-mg-multi-ground-football-boot-9c8jVQ.jpg,$8495,$0,
South,Texas,Houston,Outlet,Nike Free Metcon 3,CJ0861-010,10,"Join the hoops uprising in the AlphaDunk, one of Nike Basketball's bounciest game shoes to date. The revamped upper construction is light and supportive and a large cushioning unit spans nearly the entire forefoot, giving you all the responsiveness you can handle on the court.",3,12,https://static.nike.com/a/images/t_PDP_1728_v1/uymy5ecxo9izfbvylyiy/alphadunk-basketball-shoe-qh0qTV.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/horlh9g2mlgpidmrsaaz/alphadunk-basketball-shoe-qh0qTV.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/qa74rxptbqbijyva0bhv/alphadunk-basketball-shoe-qh0qTV.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/trprwcxy96bcnkwy2eiu/alphadunk-basketball-shoe-qh0qTV.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/rbq3sbti6bffx7svvro9/alphadunk-basketball-shoe-qh0qTV.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/uh2x3zzlnzkqk9rk63ip/alphadunk-basketball-shoe-qh0qTV.jpg,$11197,$15995,
West,California,San Francisco,Outlet,Kyrie 6 AS EP,CD5028-900,10,"The Nike Air VaporMax 360 combines 2 legends of Air: the Nike Air Max 360 and the Nike VaporMax. Featuring a full-length foam midsole and VaporMax Air unit, you'll roll through the streets in comfort with bold, early-aughts style.",0,0,https://static.nike.com/a/images/t_PDP_1728_v1/c39125ce-2c2e-438e-9000-40a6bd58cb74/air-vapormax-360-shoe-PJXX0g.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/ce02163e-a207-473a-bf07-3c4eabc977c3/air-vapormax-360-shoe-PJXX0g.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/6e28620f-5658-43a6-bb03-e8ad01812584/air-vapormax-360-shoe-PJXX0g.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/207f21cd-5723-42f2-bd2e-e66518a37dbe/air-vapormax-360-shoe-PJXX0g.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/a87f19ca-87ae-4fe5-9a4d-66b3485bb77f/air-vapormax-360-shoe-PJXX0g.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/b01790e4-498a-4607-9976-7568e784b1aa/air-vapormax-360-shoe-PJXX0g.jpg,$18995,$0,
West,California,San Francisco,Outlet,Nike Air VaporMax Flyknit 3,AJ6900-102,10,"Inspired by basketball, the Nike Blazer Low QS Flyleather features an innovative Flyleather upper for a premium look and bold graphics by artist Steven Harrington.",2,2,https://static.nike.com/a/images/t_PDP_1728_v1/xwufiovn9t929broc9vo/blazer-low-qs-flyleather-with-at-least-50-leather-fibre-shoe-P5NF0Q.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/e3v2yobdqdikpspbt9er/blazer-low-qs-flyleather-with-at-least-50-leather-fibre-shoe-P5NF0Q.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/sr3zipbz4kx1ql4cblju/blazer-low-qs-flyleather-with-at-least-50-leather-fibre-shoe-P5NF0Q.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/yaww347sezpbqxa3l0ml/blazer-low-qs-flyleather-with-at-least-50-leather-fibre-shoe-P5NF0Q.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/bjxixo2bkcmveihahd5i/blazer-low-qs-flyleather-with-at-least-50-leather-fibre-shoe-P5NF0Q.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/awqua6jhcpo88suywnua/blazer-low-qs-flyleather-with-at-least-50-leather-fibre-shoe-P5NF0Q.jpg,$6495,$0,
West,California,San Francisco,Outlet,Nike Air Max Verona,CI9842-500,10,The Nike SB Dunk High Pro pairs iconic Dunk style with a high-top design for a fresh look. A Zoom Air unit in the heel and a padded tongue create a comfortable fit that's made to skate.,5,4,https://static.nike.com/a/images/t_PDP_1728_v1/30fcf301-cd3c-4334-a14f-836e92cc5893/sb-dunk-high-pro-skate-shoe-l6hgPS.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/98377f66-ad88-4366-9747-3fa0b7a09607/sb-dunk-high-pro-skate-shoe-l6hgPS.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/3627aff8-3541-4492-8a26-e71ee64f9687/sb-dunk-high-pro-skate-shoe-l6hgPS.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/fb62d830-7bd6-40aa-99da-a4e7b20c874f/sb-dunk-high-pro-skate-shoe-l6hgPS.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/e0dd4efd-9f2b-4940-8397-33cb25d3fc44/sb-dunk-high-pro-skate-shoe-l6hgPS.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/2ebdc27e-d62c-4c2f-8a15-d0a3bc33ba41/sb-dunk-high-pro-skate-shoe-l6hgPS.jpg,$8995,$0,
